filename,eye_openness,mouth_openness,shoulder_tilt,hand_face_dist,classification
00000.jpg,0.02431041002,0.002991527319,0.007627785206,1.269676955,0
00001.jpg,0.02026520669,0.003851622343,0.01326960325,1.33641461,0
00002.jpg,0.0227522254,0.008334010839,0.01333373785,1.324664515,0
00003.jpg,0.01865200698,0.014541924,0.04030615091,1.292099901,0
00004.jpg,0.0189960897,0.01547795534,0.03599584103,1.180145871,0
00005.jpg,0.01783508062,0.004208594561,0.002501726151,1.049481025,0
00006.jpg,0.01543599367,0.003023207188,0.01243555546,0.6849611542,0
00007.jpg,0.01548150182,0.002261221409,0.0001522302628,0.5912557258,0
00008.jpg,0.01954674721,0.01835513115,0.04297405481,0.9497210558,0
00009.jpg,0.01888448,0.006369352341,0.007415533066,0.9836361699,0
00010.jpg,0.01416096091,0.02720692754,0.01501208544,1.054907834,0
00011.jpg,-1,-1,0.0290928483,0.9574639473,0
00012.jpg,0.01304206252,0.02072578669,0.01218181849,0.8579855948,0
00013.jpg,0.01341056824,0.006586909294,0.001388072968,1.076782152,0
00014.jpg,-1,-1,0.009929955006,1.074222836,0
00015.jpg,-1,-1,0.04553699493,1.015433751,0
00016.jpg,0.008528769016,0.01311731339,0.0337485671,1.02316947,0
00017.jpg,0.009138762951,0.01495367289,0.05929088593,1.02520597,0
00018.jpg,0.01031050086,0.03097170591,0.05849397182,1.017751976,0
00019.jpg,0.0166760087,0.02212771773,0.03256917,1.008910751,0
00020.jpg,0.01690495014,0.02326720953,0.007638454437,1.077693051,0
00021.jpg,0.02139061689,0.01626926661,0.02284520864,1.062893114,0
00022.jpg,0.02728095651,0.02633583546,0.002678215504,1.123319939,0
00023.jpg,0.02584844828,0.03631705046,0.002213060856,1.134202272,0
00024.jpg,0.02149546146,0.003402531147,0.008293271065,1.083372814,0
00025.jpg,0.02830311656,0.009173125029,0.01996523142,1.238803792,0
00026.jpg,0.03092572093,0.03271636367,0.06380558014,1.204808577,0
00027.jpg,0.02488037944,0.01395994425,0.009064853191,1.241752118,0
00028.jpg,0.02265182137,0.006641149521,0.005653679371,1.141577962,0
00029.jpg,0.02127707005,0.008528470993,0.02774757147,1.047042599,0
00030.jpg,0.01769313216,0.01130378246,0.04744058847,0.5625715103,0
00031.jpg,0.01711410284,0.003874897957,0.04858440161,0.3339468869,0
00032.jpg,0.01686954498,0.009975016117,0.04442155361,0.4665719318,0
00033.jpg,0.01190167665,0.02198916674,0.05313032866,0.5047096101,0
00034.jpg,0.01928013563,0.005192160606,0.0568023324,0.5513197387,0
00035.jpg,0.02057519555,0.01300653815,0.03587758541,0.4684635491,0
00036.jpg,0.01653167605,0.02245378494,0.01469397545,0.5173188534,0
00037.jpg,0.01649695635,0.03347948194,0.004965603352,0.6616553477,0
00038.jpg,0.02387830615,0.01241260767,0.01857614517,1.228492248,0
00039.jpg,0.02257499099,0.03631481528,0.02682375908,1.188210303,0
00040.jpg,0.02743302286,0.003227055073,0.03584349155,0.8464311239,0
00041.jpg,0.0263119936,0.01736688614,0.0432896018,0.7483717205,0
00042.jpg,0.02226474881,0.002114742994,0.02080243826,0.7405539577,0
00043.jpg,0.02254071832,0.003059118986,0.03582924604,0.6873357751,0
00044.jpg,0.02220901847,0.002228498459,0.009463787079,1.20943719,0
00045.jpg,0.02643072605,0.01169627905,0.01244789362,1.180459466,0
00046.jpg,0.02666401863,0.01395815611,0.008486688137,1.211559918,0
00047.jpg,0.02412119508,0.004069626331,0.005104839802,1.254854102,0
00048.jpg,0.0254971981,0.006294578314,0.02877545357,1.246771131,0
00049.jpg,0.0273090601,0.009268224239,0.05130821466,1.27235831,0
00050.jpg,0.02667957544,0.008098095655,0.05398750305,1.255345686,0
00051.jpg,0.02686139941,0.006630599499,0.01184099913,1.20392373,0
00052.jpg,0.02434757352,0.01004242897,0.01391834021,1.144535947,0
00053.jpg,0.02152740955,0.008045971394,0.03064072132,1.155999617,0
00054.jpg,0.02201107144,0.01050019264,0.01364481449,1.143870767,0
